file,r,g,b
688,54,36,52
1165,68,64,60
1028,63,42,98
1122,44,43,70
112,114,74,78
515,70,33,124
514,92,111,155
1070,144,143,144
611,109,107,94
1001,166,78,30
283,72,66,69
1041,42,95,157
1275,59,44,102
1092,40,31,56
302,88,66,93
554,46,20,90
345,145,139,140
808,82,70,53
745,130,98,87
1173,91,83,82
969,108,34,147
1085,48,52,63
1172,60,51,76
730,39,33,68
344,130,121,145
695,44,39,91
1240,78,60,82
1211,122,122,128
13,104,117,156
1048,78,74,74
323,187,177,176
1090,102,84,68
236,61,71,77
388,48,42,67
479,28,26,28
313,45,64,73
131,25,30,35
182,112,110,111
1086,39,36,34
1248,44,20,91
662,115,104,120
841,60,67,67
740,82,107,131
899,13,56,177
270,151,152,155
1168,157,146,130
618,129,111,98
601,6,48,201
982,76,55,82
180,140,151,161
426,67,70,74
1038,129,125,129
335,53,89,105
833,82,79,82
653,34,27,46
563,28,38,66
999,73,61,77
415,125,123,122
771,130,130,119
943,86,39,132
741,102,101,112
894,90,90,107
889,43,30,80
272,74,65,87
723,29,72,221
250,55,56,62
527,54,43,67
424,2,60,180
41,95,113,120
748,134,111,167
978,83,80,96
1274,85,65,119
844,74,72,76
595,59,59,62
803,88,76,102
1182,91,71,124
974,134,117,111
622,75,78,100
920,74,78,82
1150,101,88,89
367,51,45,51
904,87,98,103
359,128,154,166
433,62,59,71
66,57,44,43
692,113,147,167
933,67,53,72
959,141,144,161
407,52,35,48
566,10,39,152
870,71,49,88
937,40,30,83
1155,100,62,84
765,92,86,115
493,92,104,124
47,67,79,84
1169,129,129,132
900,105,88,73
625,128,109,111
1113,128,128,122
430,36,42,49
379,103,88,80
621,47,46,65
1269,108,90,122
913,159,150,150
114,12,74,168
878,12,31,118
350,101,65,128
197,42,45,52
887,69,60,78
928,187,165,159
64,86,101,116
589,32,23,73
1049,75,73,75
581,62,42,67
5,65,63,59
1276,177,147,114
403,8,90,207
835,67,46,19
877,163,159,159
229,68,99,120
1254,86,114,122
831,77,76,90
1031,91,42,133
917,62,57,62
1062,13,108,185
309,131,110,102
460,42,26,62
188,81,91,132
177,89,94,103
418,175,189,203
853,70,74,82
738,99,86,111
571,38,65,44
680,90,65,89
1160,182,94,82
744,38,33,64
947,100,65,76
103,53,59,66
1036,74,73,78
369,111,84,112
1071,81,79,122
548,87,73,52
384,69,37,84
461,49,45,125
762,56,74,80
702,129,131,148
1112,41,39,76
410,87,70,71
1224,115,106,99
552,5,72,230
1209,85,107,120
1272,41,31,67
815,28,25,36
76,63,61,54
1119,148,145,163
634,75,19,142
1089,102,97,102
1045,78,55,63
549,8,57,154
1126,44,38,38
1228,124,90,188
165,42,66,130
610,9,26,81
1143,81,77,95
139,63,41,136
569,113,114,117
965,110,105,100
809,99,96,91
383,43,35,66
708,70,79,98
659,121,98,80
1124,100,71,119
598,97,82,83
941,66,72,96
777,139,116,132
312,89,84,90
1251,61,58,49
827,92,17,21
921,68,63,128
1225,99,85,84
840,77,56,54
412,90,88,90
824,80,57,69
1111,112,121,148
